product_code,recommend_product_codes_concated
604,1476#1309#685#11859#1725#24880#266#1021#284#226
327534,12056#12072#242376#3129#251551#272379#81758#272846#552518#334092
29222,12374#158231#29261#29244#621858#29189#29195#863345
2475,3034#33476#13742#981#1095#3072#5047#5095#2769#7720
66985,5658#1094#3071#7654#1073#67406#67449#2853#14252#68926
219633,1591#2773#2345#1684#4424#3131#6546#7684#8657#2646
830260,540757#294092#360988#360987#505500#266981#281039#266982#296470#264653
18963,2670#1937#2744#2793#18867#1715#18877#18878#4422#2713
723104,3709#8913#8722#9059#2699#8761#6613#154449#8746#10871
2372,2371#4306#3614#5879#4331#1122#3166#5884#32589#4325
29079,3655#3442#5147#3502#158282#659#1400#8623#1524#1498
171007,6561#159178#3390#3061#3079#2072#2346#3315#2479#8104
5037,94#3781#9#2513#3778#8#8011#3617#93#2625
2002,12026#12022#3171#3223#2870#1919#12012#12142#12362#28954
765543,511375#551409#511356#511363#511378#511398#602559#602486#511379#602554
288747,3709#8913#8722#9059#2699#8761#6613#154449#8746#10871
31295,31113#33005#330010#31412#771#151894#6268#31304#3200#8085
352333,1614#2021#4783#8043#1276#10984#51574#207939#8006#4072
272722,12034#2316#846#2332#3089#6572#3031#3039#6207#531
198300,53359#53361#53470#53375#53348#53353#275261#854181#53416#159710
863194,3428#1477#3427#69#386#2559#2001#5841#3664#1673
160998,1162#825#837#678#1882#3685#57703#983#7682#10674
1140,1186#989#11620#485#1278#4114#3716#379#7436#425
536343,1352#1366#156#13768#9360#3684#4789#1750#1943#7242
848150,1504#603#353628#164331#165565#227126#226505#350700#229059#9095
551521,511375#551409#511356#511363#511378#511398#602559#602486#511379#602554
680097,196#347#1687#7002#1765#1210#3389#2933#3488#1557
5174,1042#222273#1754#1516#1551#2071#13774#42458#2070#344
223528,1740#523#534#66188#854219#1898#2524#1062#9413#300
8303,1186#989#11620#485#1278#4114#3716#379#7436#425
4234,1036#450992
4533,4532#3504#1630#1370#1629#1679#1371#5869#39520#7187
863388,168681#60292#220498#220527#61483#188051#61484#60295#60294#60282
72719,12428#1234#73440#4959#426#40#6904#1544#14320#10993
838860,60338#3107#7883#3925#168204#1860#169134#9825#2413#2708
826571,1476#1309#685#11859#1725#604#24880#266#1021#284
67512,219088#11985#680#1143#50508#154478#169288#227839#2970#168669
994,2126#3387#1695#726#2543#521#67#1660#56625#1532
188578,1740#523#534#854219#66188#1898#2524#1062#9413#300
144,513#3180#405#511#4425#1568#281#25998#2723#3680
361400,11927#165#293526#2542#164#2880#2369#1249#294345#9380
202086,164238#178668#11866#168195#167620#11876#11869#744864#167484#182356
856819,853861#853862#853860#853864#853328#853859#853858#853870#853331#853869
862490,539854#569594#580282#167190#313243#765564#765562#765563#412493#862566
4700,11541#2353#14206#6557#9838#1646#259124#1798#2818#154467
862523,1357#705#186005#9484#9712#156400#344101#227411#9677#164614
668664,3414#11901#770824#373#5146#5815#11867#227912#275164#167838
70638,2508#2444#71088#971#3242#2058#3326#11071#2013#2640
849940,511375#551409#511356#511363#511378#511398#602559#602486#511379#602554
830233,511375#551409#511356#511363#511378#511398#602559#602486#511379#602554
47110,339627#47100#6862#1560#2756#1682#8023#3450#1562#1139
221382,10982#166#3060#2785#2379#13727#158724#160386#180922#220051
3439,12428#1234#73440#4959#426#40#6904#1544#14320#10993
837732,2282#3385#1503#226388#228116#947#2269#13656#226390#3030
862460,12428#1234#73440#4959#426#40#6904#1544#14320#10993
41966,3393#849#4440#2990#761#1592#164453#8392#63390#11883
181970,3414#11901#770824#373#5146#5815#11867#227912#275164#167838
1614,2021#4783#8043#1276#10984#51574#207939#8006#4072#1417
168018,1740#523#534#854219#66188#1898#2524#1062#9413#300
50541,11692#52836#160028#4450#1555#675#157636#3003#11808#559
14944,4759#5546#2961#4223#5565#2896#57361#8442#57737#57442
853151,31694#3788#2430#2467#4656#125#1911#2635#31708#158270
